Veículo;Combustivel;DATA .: ;;Valor/Litro;Quantidade;Valor;Anterior;Atual;Km Rodada;Média (Km/L)
VEÍCULO .: ;;;;;;;;;;
GMF1396;;;;;;;;;;
GMF1396;DIESEL;27/04/2021;(E);4.495;122.52;R$ 550.73;35040;35235;195;1.59
GMF1396;DIESEL;22/10/2021;(E);5.195;46.18;R$ 239.91;35235;35329;94;2.04
Qtde = 2;Subtotal .:;168.70;R$ 790.64;289;1.71;;;;;
VEÍCULO .: ;;;;;;;;;;
GMF2414;;;;;;;;;;
GMF2414;DIESEL;12/04/2021;(E);4.495;177.99;R$ 800.07;107220;107897;677;3.80
GMF2414;DIESEL;14/12/2021;(E);5.279;234.31;R$ 1,236.92;107897;108568;671;2.86
Qtde = 2;Subtotal .:;412.30;R$ 2,036.99;1348;3.27;;;;;
VEÍCULO .: ;;;;;;;;;;
GMF2794;;;;;;;;;;
GMF2794;DIESEL;23/02/2021;(E);4.498;84.32;R$ 379.29;250818;251333;515;6.11
GMF2794;DIESEL;23/03/2021;(E);4.348;56.19;R$ 244.34;250818;251763;945;16.82
GMF2794;DIESEL;29/04/2021;(E);4.448;63.35;R$ 281.80;251763;252377;614;9.69
GMF2794;DIESEL;03/06/2021;(E);4.732;70.25;R$ 332.48;252377;252913;536;7.63
GMF2794;DIESEL;01/07/2021;(E);4.748;60.00;R$ 284.88;252913;253471;558;9.30
GMF2794;DIESEL;02/08/2021;(E);4.848;75.00;R$ 363.60;253471;254066;595;7.93
GMF2794;DIESEL;12/11/2021;(E);5.548;95.77;R$ 531.37;254066;254641;575;6.00
GMF2794;DIESEL;17/12/2021;(E);5.598;90.00;R$ 503.86;254641;255465;824;9.16
GMF2794;DIESEL;10/01/2022;(E);5.698;50.00;R$ 284.90;255465;255927;462;9.24
GMF2794;DIESEL;26/01/2022;(E);5.898;50.10;R$ 295.49;255927;256302;375;7.49
GMF2794;DIESEL;16/02/2022;(E);5.898;55.49;R$ 327.31;256302;256706;404;7.28
GMF2794;DIESEL;25/02/2022;(E);5.799;27.80;R$ 161.22;256706;256934;228;8.20
Qtde = 12;Subtotal .:;778.27;R$ 3,990.53;6631;8.52;;;;;
VEÍCULO .: ;;;;;;;;;;
GMF2862;;;;;;;;;;
GMF2862;DIESEL;09/02/2021;(E);4.194;165.38;R$ 693.75;138263;138698;435;2.63
GMF2862;DIESEL;12/03/2021;(E);4.595;137.65;R$ 632.50;138698;139086;388;2.82
GMF2862;DIESEL;08/04/2021;(E);4.495;133.13;R$ 598.42;139086;139502;416;3.12
GMF2862;DIESEL;08/07/2021;(E);4.895;134.51;R$ 658.43;139502;139902;400;2.97
GMF2862;DIESEL;03/08/2021;(E);4.895;128.96;R$ 631.36;139902;140301;399;3.09
GMF2862;DIESEL;01/09/2021;(E);4.895;130.45;R$ 638.55;140301;140716;415;3.18
GMF2862;DIESEL;01/10/2021;(E);5.195;136.64;R$ 709.84;140716;141156;440;3.22
GMF2862;DIESEL;22/10/2021;(E);5.195;72.72;R$ 377.78;141156;141368;212;2.92
GMF2862;DIESEL;12/11/2021;(E);5.595;113.67;R$ 635.98;140716;141725;1009;8.88
GMF2862;DIESEL;20/12/2021;(E);5.595;107.82;R$ 603.25;141725;142050;325;3.01
GMF2862;DIESEL;07/01/2022;(E);5.595;75.28;R$ 421.19;142050;142308;258;3.43
GMF2862;DIESEL;28/01/2022;(E);5.795;64.36;R$ 372.97;142308;142549;241;3.74
GMF2862;DIESEL;24/02/2022;(E);5.760;113.58;R$ 654.31;142549;142870;321;2.83
Qtde = 13;Subtotal .:;1,514.15;R$ 7,628.35;5259;3.47;;;;;
VEÍCULO .: ;;;;;;;;;;
GMF3118;;;;;;;;;;
GMF3118;DIESEL;13/09/2021;(E);5.17;261.17;R$ 1,350.25;57650;58853;1203;4.61
GMF3118;DIESEL;05/11/2021;(E);5.629;157.12;R$ 884.43;58853;59938;1085;6.91
Qtde = 2;Subtotal .:;418.29;R$ 2,234.68;2288;5.47;;;;;
VEÍCULO .: ;;;;;;;;;;
GMF3242;;;;;;;;;;
GMF3242;GASOLINA;08/06/2021;(E);5.994;45.48;R$ 272.65;66539;66961;422;9.28
Qtde = 1;Subtotal .:;45.48;R$ 272.65;422;9.28;;;;;
VEÍCULO .: ;;;;;;;;;;
GMF3245;;;;;;;;;;
30/03/2022 16:13;SISFROTA - GERENCIAMENTO DA FROTA  (LUCAS);Página 1;;;;;;;;
Relação de Abastecimento por Veículo;;;;;;;;;;
Filtro:  Do período 01/02/2021 até   28/02/2022;;;;;;;;;;
Odôm./Horím.;;;;;;;;;;
Veículo;;;;;;;;;;
Combustivel;DATA .: ;Qte.;Valor;Anterior       Atual;Km Rodada;Média (Km/L);;;;
GMF3245;GASOLINA;16/03/2021;(E);6.099;58.88;R$ 359.11;185401;185714;313;5.32
GMF3245;GASOLINA;13/04/2021;(E);5.999;53.14;R$ 318.79;185714;186008;294;5.53
GMF3245;GASOLINA;09/06/2021;(E);6.099;53.80;R$ 328.13;185401;186269;868;16.13
GMF3245;GASOLINA;20/07/2021;(E);6.055;49.58;R$ 300.21;186269;186513;244;4.92
GMF3245;GASOLINA;29/09/2021;(E);6.499;49.75;R$ 323.33;186269;186777;508;10.21
GMF3245;GASOLINA;05/11/2021;(E);7.085;47.63;R$ 337.46;186777;187011;234;4.91
GMF3245;GASOLINA;20/12/2021;(E);7.085;51.95;R$ 368.11;187011;187303;292;5.62
GMF3245;GASOLINA;21/02/2022;(E);7.299;56.58;R$ 412.98;187303;187806;503;8.89
Qtde = 8;Subtotal .:;421.31;R$ 2,748.12;3256;7.73;;;;;
VEÍCULO .: ;;;;;;;;;;
GMF3249;;;;;;;;;;
GMF3249;GASOLINA;28/12/2021;(E);7.199;38.54;R$ 277.46;81029;81075;46;1.19
GMF3249;GASOLINA;14/01/2022;(E);7.499;19.21;R$ 144.06;81075;81185;110;5.73
GMF3249;GASOLINA;02/02/2022;(E);7.199;24.16;R$ 173.94;81185;81345;160;6.62
GMF3249;GASOLINA;09/02/2022;(E);7.200;17.75;R$ 127.81;81345;81400;55;3.10
GMF3249;GASOLINA;25/02/2022;(E);7.099;41.79;R$ 296.68;81400;81568;168;4.02
Qtde = 5;Subtotal .:;141.45;R$ 1,019.95;539;3.81;;;;;
VEÍCULO .: ;;;;;;;;;;
GMF3253;;;;;;;;;;
GMF3253;DIESEL;25/06/2021;(E);4.794;36.76;R$ 176.25;336099;336241;142;3.86
GMF3253;DIESEL;02/12/2021;(E);5.634;25.59;R$ 144.18;336241;336409;168;6.57
